División,clase,orden,familia,Hierba,Color,longitud,latitud,tipovegetacionmapa,altitudmapa
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.758333,24.908333,Matorral Desertico Rosetofilo,1884
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-101.078176,25.300581,Matorral Desertico Microfilo,1871
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-100.75,25.666667,Matorral Desertico Rosetofilo,1521
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-100.502826,23.845884,Matorral Desertico Rosetofilo,1811
Magnoliophyta,Liliopsida,Poales,Poaceae,Hierba,Amarilla,-100.75,25.666667,Matorral Desertico Rosetofilo,1521
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,lila,-110.4,27.7,Vegetacion Halofila,9
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Azul y blanco,-102,27.3333,Matorral Desertico Rosetofilo,1302
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Azul y blanco,-99.607284,25.6476,Matorral Submontano,201
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-102,27.3333,Matorral Desertico Rosetofilo,1302
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-99.607284,25.6476,Matorral Submontano,201
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-113.008333,27.608333,Matorral Sarcocaule,1275
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-113.008333,27.608333,Matorral Sarcocaule,1275
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-107.616111,30.112781,Pastizal  Halofilo,1431
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-100.355556,21.271389,Pastizal Natural,1982
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-99.060333,20.129389,Matorral Crasicaule,2137
Magnoliophyta,Liliopsida,Pontederiales,Pontederiaceae,Hierba,Blanco a rosa,-98.708444,20.133639,Matorral Desertico Rosetofilo,2629
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Blanco a rosa,-113.733333,31.568333,Vegetacion de Desiertos Arenosos,11
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Blanco a rosa,-109.255444,31.314278,Mezquital,1108
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Blanco a rosa,-113.734722,31.568333,Vegetacion de Desiertos Arenosos,11
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Blanco a rosa,-112.491389,30.690278,Matorral Desertico Microfilo,149
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Blanco a rosa,-112.40991,28.84109,Matorral Sarcocaule,59
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Pardo obscuro,-116.291667,30.991667,Matorral Rosetofilo Costero,54
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Pardo obscuro,-115.458333,30.208333,Matorral Desertico Microfilo,358
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Pardo obscuro,-115.115,32.631944,Vegetacion de Desiertos Arenosos,18
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Pardo obscuro,-115.118889,32.6325,Vegetacion de Desiertos Arenosos,33
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Pardo obscuro,-116.416667,31.825,Chaparral,291
Magnoliophyta,Liliopsida,Typhales,Typhaceae,Hierba,Pardo obscuro,-116.183333,31.091667,Matorral Rosetofilo Costero,131
Magnoliophyta,Liliopsida,Zingiberales,Cannaceae,Hierba,Anaranjada,-99.060333,20.129389,Matorral Crasicaule,2137
Magnoliophyta,Liliopsida,Zingiberales,Cannaceae,Hierba,Anaranjada,-99.060333,20.129389,Matorral Crasicaule,2137
Magnoliophyta,Liliopsida,Zingiberales,Musaceae,Hierba,Amarilla,-97.608333,18.408333,Bosque de Encino,2435
Magnoliophyta,Liliopsida,Zingiberales,Musaceae,Hierba,,-97.608333,18.408333,Bosque de Encino,2435
Pteridophyta,Lycopodiopsida,Isoetales,Isoetaceae,Hierba,Blanco a rosa,-106,28.5,Pastizal Natural,1572
Pteridophyta,Lycopodiopsida,Isoetales,Isoetaceae,Hierba,Blanco a rosa,-116.42,31.53,Chaparral,404
Pteridophyta,Lycopodiopsida,Isoetales,Isoetaceae,Hierba,Blanco a rosa,-116.416667,31.541667,Chaparral,290
Pteridophyta,Lycopodiopsida,Isoetales,Isoetaceae,Hierba,Blanco a rosa,-116.599917,32.000028,Chaparral,584
Pteridophyta,Lycopodiopsida,Isoetales,Isoetaceae,Hierba,Blanco a rosa,-116.425,31.541667,Chaparral,244
Pteridophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Hierba, ,-99.148528,19.023389,Bosque Mesofilo de Montana,2458
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-111.49,25.97,Matorral Sarcocaule,519
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-112.47,26.63,Vegetacion de Galeria,254
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-112.475,26.975,Matorral Sarcocaule,1353
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-100.53925,25.098417,Matorral Desertico Rosetofilo,2090
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.404167,31.041667,Chaparral,1081
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.383333,31.083333,Matorral Desertico Microfilo,824
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.4,30,Matorral Desertico Rosetofilo,499
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.408333,31.008333,Chaparral,1660
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-114.591667,29.591667,Matorral Desertico Rosetofilo,939
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-114.775,29.791667,Matorral Sarcocrasicaule,644
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.201,29.978,Matorral Desertico Rosetofilo,497
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-114.72,29.77,Matorral Sarcocrasicaule,631
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-113.99,29.228306,Matorral Sarcocrasicaule,1131
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-116.493056,32.312222,Chaparral,632
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.6,31.05,Chaparral,1597
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-114.72,29.73,Matorral Sarcocrasicaule,556
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.95,31.28,Chaparral,681
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-116.33,31.52,Chaparral,408
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.44656,30.05815,Matorral Desertico Rosetofilo,553
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-116.341667,31.358333,Chaparral,345
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.658333,31.108333,Chaparral,1392
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-112.058333,26.425,Matorral Sarcocrasicaule,690
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-111.591667,26.058333,Matorral Sarcocaule,985
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-110.725,24.808333,Matorral Sarcocaule,512
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-116.741667,32.425,Chaparral,421
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-100.308333,23.075,Matorral Desertico Microfilo,1605
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-100.308333,23.058333,Matorral Desertico Rosetofilo,1625
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-100.162656,25.365392,Bosque de Encino,715
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-100.162778,25.365278,Bosque de Encino,715
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-100.410617,25.517121,Matorral Desertico Rosetofilo,1753
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.808333,32.158333,Matorral Desertico Microfilo,754
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.558333,31.225,Chaparral,1346
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-114.208333,29.458333,Matorral Sarcocaule,239
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-116.075,31.241667,Chaparral,234
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-115.93,32.28,Chaparral,1624
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-110.858333,24.841667,Matorral Sarcocaule,465
Pteridophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Hierba,Blanco a rosa,-98.62,24.63,Matorral Submontano,755
