ID,division,clase,orden,familia,genero,tipo,color,colector,numerocatalogo,numerocolecta,siglascoleccion
1372,Magnoliophyta,Liliopsida,Asparagales,15,21,Hierba ,2,Eugene Cecil Ogden; Charles Louis Gilly; Efraim Ildefonso Hernández-Xolocotzi Guzmán,266821,Ogden-51115,ARIZ
139712,Magnoliophyta,Magnoliopsida,Solanales,84,553,Arbusto,17,NO DISPONIBLE,138878,NO DISPONIBLE,NY
120812,Magnoliophyta,Magnoliopsida,Malvales,39,653,Hierba ,1,B. H. Warnock; F. A. Barkley,72282,14719-M,TEX
106583,Magnoliophyta,Magnoliopsida,Lamiales,36,671,Hierba ,17,F. Chiang C.; T. L. Wendt; M. C. Johnston,250566,7980,TEX
89318,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,R. Puente M.,RPM00229,RPM00022,MEXU
85125,Magnoliophyta,Magnoliopsida,Caryophyllales,27,257,Arbusto,14,R.S. Felger; G.K. Harris,230823,16747,ARIZ
141199,Magnoliophyta,Magnoliopsida,Urticales,87,151,Arbusto,20,R. Pelz,NO APLICA,18,QMEX
120105,Magnoliophyta,Magnoliopsida,Malvales,39,381,Arbusto,17,R.S. Felger; Alexander Russell; Robin Thomas,NO DISPONIBLE,12285,ARIZ
96283,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Sufrútice,7,R. S. Felger; C. Saravia T.,957625,3858,MEXU
91813,Magnoliophyta,Magnoliopsida,Caryophyllales,42,2,Hierba ,1,Hugo Cota S.; Germán Cota S.,83240,7357,XAL
90027,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,J. Guadalupe Martínez Ava,JGMA00315,JGMA00315,UAT
9854,Magnoliophyta,Liliopsida,Dioscoreales,83,660,Hierba ,7,E. Carranza G.,111883,655,IEB
137725,Magnoliophyta,Magnoliopsida,Solanales,84,224,Hierba ,16,T.R. Van Devender; M. Erickson,289913,90-487,ARIZ
111512,Magnoliophyta,Magnoliopsida,Malpighiales,31,205,arbusto,7,NO DISPONIBLE,2054621,NO DISPONIBLE,MO
4022,Magnoliophyta,Liliopsida,Asparagales,15,255,Hierba ,1,S. ROMERO R.; C. ROJAS,NO DISPONIBLE,509,ENCB
117441,Magnoliophyta,Magnoliopsida,Malpighiales,50,741,Hierba ,5,M. C. Johnston; F. Chiang C.; T. L. Wendt,157542,11126,LL
98991,Magnoliophyta,Magnoliopsida,Gentianales,9,650,Hierba ,7,I. L. Wiggins; A. M. Carter; W. R. Ernst,106622,353,MEXU
137977,Magnoliophyta,Magnoliopsida,Solanales,84,447,Hierba ,17,NO DISPONIBLE,dbsn180534,NO DISPONIBLE,ARIZ
81970,Magnoliophyta,Magnoliopsida,Caryophyllales,5,334,Hierba ,7,J. A. Mears,173949,208,TEX
88598,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,R.S. Felger; H.S. Gentry,283990,7853,ARIZ
